Region,Governorate,Income_Category,Date,GDP_Per_Capita_USD,Organic_Waste_Percentage,Plastic_Percentage,Paper_Cardboard_Percentage,Glass_Percentage,Metal_Percentage,Other_Waste_Percentage,Recycling_Rate_Percentage,Population,Total_MSW_Generated_Tons_Month,Agricultural_Waste_Tons_Year,Construction_Demolition_Waste_Tons_Year,E_Waste_Tons_Year,Hazardous_Waste_Tons_Year,Medical_Waste_Tons_Year,Total_Annual_MSW_Tons_Year,Waste_Collection_Coverage_Population_Percentage,Waste_Collection_Coverage_Waste_Percentage,Compost_Treatment_Percentage,Incineration_Percentage,Data_Source
Alexandria Region,Alexandria,Middle/High Urban,2021-01,3690,58.6,9,3.4,4.1,7.5,17.4,12.2,5229853,141206,1596879,229629,4833,22580,5950,1718007,85.6,81.4,11.9,1.6,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2021-02,3690,59.1,15.7,10.3,0.5,0.5,13.9,12,5237175,141404,1596879,229629,4833,22580,5950,1720412,84.6,80.4,11.8,1.7,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2021-03,3690,54.6,16.2,12.8,6.2,1.7,8.6,12.6,5244507,141602,1596879,229629,4833,22580,5950,1722821,83.8,79.6,11.2,2.4,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2021-04,3690,67.5,15.8,0.5,0.6,0.5,15.1,13,5251850,167324,1653395,223697,4842,21969,6204,1725233,88.9,84.4,11.2,2.6,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2021-05,3690,58.6,14.3,10.3,3.6,0.6,12.7,12.4,5259202,141998,1653395,223697,4842,21969,6204,1727648,88.5,84.1,11.9,1.3,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2021-06,3690,51,14.5,12.1,1,8.9,12.5,12.6,5266565,177746,1653395,223697,4842,21969,6204,1730067,86.1,81.8,11.2,2.6,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2021-07,3690,63.3,10.6,1.8,5.8,4,14.4,13.4,5273938,177995,1583606,221016,4958,22908,6016,1732489,83.1,79,13.8,2.1,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2021-08,3690,54.4,13.1,7.9,2.9,6.5,15.2,13.2,5281322,178245,1583606,221016,4958,22908,6016,1734914,86.6,82.2,12.3,2.1,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2021-09,3690,71.5,14.8,10.3,0.6,1.9,0.9,12.9,5288716,142795,1583606,221016,4958,22908,6016,1737343,85.2,81,12.7,2.1,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2021-10,3690,58.8,13.8,13.3,3.3,4.9,5.8,13.4,5296120,142995,1585282,233022,4510,22599,6268,1739775,88.6,84.1,12.1,2.1,Alexandria Governorate - General Administration of Solid Waste
Alexandria Region,Alexandria,Middle/High Urban,2021-11,3690,59.2,6.8,5.5,3.4,8.6,16.5,13.1,5303534,143195,1585282,233022,4510,22599,6268,1742211,89.2,84.7,11.3,2.6,Alexandria Governorate - General Administration of Solid Waste
